Pirkka Parhaat sinappisilakka 280/140g MSC,669/kpl
Äyriäistukku Kuorittu Jumbo Katkarapu 200g/180g pakaste,735/kpl
Eriksson merirapu kokonainen raaka 400g MSC pakaste,1295/kpl
Äyriäistukku Kuorittu Jumbo Katkarapu 400g/360g pakaste,1399/kpl
Bornholms hummerikeitto 375g,799/kpl
SJØ loimuulohifileepala 250g skin-pack,1099/kpl
Suomen Sillikonttori sinappisilakka 280g/140g MSC,749/kpl
Nuchar keitettyjä jättiläiskalmarin lonkeroita 265g,1099/kpl
Pirkka Parhaat mango-jalapeno silli 260g MSC,399/kpl
Äyriäist jättiläiskatkarapu 200g keit,899/kpl
"Säkylän Isokylän muikun mäti 250g, pakaste",4999/kpl
Äyriäistukku siianmäti Suomi 150g pakaste,3299/kpl
"Muikunmäti kalamestarilta, säilytetty pakasteena",19999/kg
AK Cavi-art merilevävalmiste keltainen 170 g,499/kpl
Suomen Sillikonttori suutarinlohi silakkarulla 280g/140g MSC,715/kpl
Pirkka lasimestarin silli 300g/150g MSC,719/kpl
AK merenherkku antipasto 200 g,695/kpl
Äyriäistukku Kokonaisia Katkarapuja (90-120KPL/LBS) 500g/400g pakaste,890/kpl
Äyriäistukku Siianmäti USA 150g,2490/kpl
Camillan kalaherkku mustaviinimarjasilakka 270/130g MSC,819/kpl
Äyriäistukku Frutti di Mare Lux 250g,650/kpl
"AK sinisimpukka elävä MSC 1,5 kg",1290/kpl
Vesta silliä tillikastikkeessa 150/100g,459/kpl
Vesta silliä tomaattikastikkeessa 150/100g,459/kpl
Vesta silliä matjeskastikkeessa 150/100g,459/kpl
Savio sardiinifileet öljyssä 75g/40g,339/kpl
Savusärki Puula-Särvin,890/kpl
Äyriäistukku katkarapu 1kg kokonainen,1690/kpl
Kallax hapansilakka kokonainen 710/475g,2700/kpl
"Tiikeriravun pyrstöt palvelutiskiltä, raaka",4999/kg
Myrskylän Graavi kirjolohiviipale tillillä n.200g,4990/kg
Savustettu lohi/kirjolohipala,1999/kg
Äyriäistukku mustekalanlonkero 1kg/800g,2999/kpl
Kalaonni Maestro loimutettu kirjolohifilee n700g vakuumipakattu,n.2309/kpl
Suomen Sillikonttori tyrni Artesaani-silli 280g/140g MSC,445/kpl
SJØ savulohifileepala 250g skin-pack,1099/kpl
Pirkka isot katkaravut 100-200 kpl / 180g kuorittu MSC pakaste,399/kpl
Pirkka seiti annospaloina 300g/3kpl MSC pakaste,299/kpl
Pirkka Parhaat juustoinen silli 220g MSC,399/kpl
AK katkarapu kuorittu 150 g MSC,790/kpl
Kalamestarin Caesar silli 270/135g MSC,299/kpl
Myrskylän Kylmäsavustettu Lohenevä,1299/kg
Kalaneuvos tuore kirjolohen mäti 1kg,6580/kpl
Suomen Sillikonttori katajanmarja silakkarulla 280g/140g MSC,715/kpl
Äyriäistukku sinisimpukka500g kokonainen,599/kpl
Äyriäistukku siianmäti 250g,3990/kpl
Jokisen Eväät matjessillifilee 220g,415/kpl
Lerøy savumerilohifilee pippuri n900g vakuumipakattu,n.2699/kpl
Äyriäist vihersimpukka500g 1/2kuori esik,1290/kpl
Kalamestarin sinappisilli 270/135g MSC,299/kpl
Alfocan rapu 10-16kpl/1kg keitetty Espanja,3125/kpl
"""Baby"" Octopus, perattu mustekala, 40-60 kpl/lbs, 500g/400g netto",999/kpl
AK octopus mustekala antipasto 200 g,1035/kpl
Royal Greenland rapeaksi paneeratut katkaravut 300g MSC pakaste,835/kpl
Eriksson mustekalarengas naturel 500g MSC pakaste,899/kpl
"Vatkis vegaaninen katkarapu 90g/180g, 210 ml",399/kpl
Kalaonni loimutettu kirjolohifilee cajun n700g vakuumipakattu,n.2309/kpl
Pirkka pienet katkaravut 350-500 kpl / 350g kuorittu MSC pakaste,739/kpl
